period_days,planet_radius_earth,target_stars,mean_transit_geometry,mean_phase_window,mean_pipeline_including_window,mean_vetting_given_recovered,mean_pipeline_and_vetting,mean_total_selection,effective_stars,fraction_impact_target_evaluations_below_mes_training,fraction_impact_target_evaluations_above_mes_training,label
500,0.771105412704,114105,0.003571007463,0.467805678071,0.000383089319496,0.0205480858849,0.000257316571506,8.14842851255e-07,0.0929776435424,6.25486776731e-05,0,MODEL-INFERRED
50,0.840896415254,114105,0.016575148365,0.980213829473,0.0349422438798,0.315514339829,0.0305532627888,0.000493961390806,56.363464498,2.31351366901e-05,0.000118124785684,MODEL-INFERRED
56.1009227151,0.840896415254,114105,0.0153505553224,0.977072046797,0.0320135563299,0.312026732283,0.0280858956273,0.000419160365547,47.8282935107,2.31351366901e-05,9.70660425356e-05,MODEL-INFERRED
62.9462705897,0.840896415254,114105,0.0142164367712,0.971480327749,0.0290253016644,0.306073162633,0.0255194509779,0.000351563587128,40.1151631092,2.83679670922e-05,7.11490595726e-05,MODEL-INFERRED
70.6268772311,0.840896415254,114105,0.0131661083411,0.964097511939,0.0260298006823,0.29759663921,0.0229074536309,0.000291319544297,33.241016602,2.9406163863e-05,5.3395098099e-05,MODEL-INFERRED
79.2446596231,0.840896415254,114105,0.0121933795112,0.955269097857,0.0230867973272,0.286720738063,0.0203120566618,0.000238481473368,27.2119285187,2.9406163863e-05,4.77667538352e-05,MODEL-INFERRED
88.9139705019,0.840896415254,114105,0.0112925171245,0.946455578881,0.0202536728319,0.273842940366,0.0177955349549,0.000192919536425,22.0130837038,2.9406163863e-05,3.75482620783e-05,MODEL-INFERRED
99.7631157484,0.840896415254,114105,0.0104582115968,0.941663514956,0.0175774487499,0.259097734137,0.0154065087113,0.000154236168278,17.5991179814,2.9406163863e-05,2.62915735507e-05,MODEL-INFERRED
111.936056928,0.840896415254,114105,0.00968554562249,0.937980127602,0.01509376621,0.242791515743,0.0131822979162,0.000121879858836,13.9071012925,2.9406163863e-05,1.18993714366e-05,MODEL-INFERRED
125.594321575,0.840896415254,114105,0.00896996519314,0.935844124974,0.0128278935975,0.223741048873,0.0111315713925,9.50524815692e-05,10.8459634095,3.04443606337e-05,4.17371035718e-06,MODEL-INFERRED
140.919146563,0.840896415254,114105,0.00830725275603,0.933272582355,0.0107919350407,0.204199000521,0.00929486113732,7.32993245188e-05,8.36381942422,3.14825574045e-05,1.03819677076e-06,MODEL-INFERRED
158.113883008,0.840896415254,114105,0.00769350235666,0.93004485155,0.00898570775062,0.184286208804,0.00767060567639,5.5857018098e-05,6.37356505007,3.14825574045e-05,0,MODEL-INFERRED
177.406694617,0.840896415254,114105,0.0071250966174,0.926004353283,0.00740221946762,0.164298393681,0.0062524888048,4.20328902603e-05,4.79616294315,3.46180709909e-05,0,MODEL-INFERRED
199.053585277,0.840896415254,114105,0.0065986854171,0.919767369993,0.0060299594284,0.144560893061,0.00503029309163,3.12096069688e-05,3.56117220317,3.56562677617e-05,0,MODEL-INFERRED
223.341796075,0.840896415254,114105,0.00611116614581,0.909806396412,0.00485665314644,0.125448719934,0.00399291267791,2.28555278239e-05,2.60793000235,3.56562677617e-05,0,MODEL-INFERRED
250.593616814,0.840896415254,114105,0.00565966541834,0.895237874828,0.00386604780201,0.107349017725,0.00312552030535,1.64988611924e-05,1.88260255636,3.66944645324e-05,0,MODEL-INFERRED
281.170662595,0.840896415254,114105,0.00524152213887,0.872007338015,0.00304101633763,0.0904881865153,0.00241130418175,1.17332623494e-05,1.33882390038,3.87917813481e-05,0,MODEL-INFERRED
315.47867224,0.840896415254,114105,0.00485427181671,0.831351860655,0.00236420701094,0.0750077688352,0.00183276048447,8.21657057354e-06,0.937551785293,3.98299781189e-05,0,MODEL-INFERRED
353.972892192,0.840896415254,114105,0.00449563204088,0.781185292645,0.00181733453814,0.0612389759748,0.00137332491579,5.66970974441e-06,0.646942230386,3.98299781189e-05,0,MODEL-INFERRED
397.164117362,0.840896415254,114105,0.00416348902784,0.689755418902,0.00138174639306,0.0490899662509,0.00101365656201,3.85186258549e-06,0.439516780317,4.08681748896e-05,0,MODEL-INFERRED
445.625469067,0.840896415254,114105,0.00385588516304,0.586629428192,0.001039222418,0.0387020374358,0.000737093632841,2.57710256681e-06,0.294060288386,4.54373991085e-05,0,MODEL-INFERRED
500,0.840896415254,114105,0.003571007463,0.467805678071,0.000773171891497,0.0299716152824,0.000527451803025,1.69628879568e-06,0.193555033031,5.21039401431e-05,0,MODEL-INFERRED
50,0.917004043205,114105,0.016575148365,0.980213829473,0.0580587543776,0.384367165278,0.0512347229974,0.000832191395293,94.9571991599,1.81494753353e-05,0.00026971549022,MODEL-INFERRED
56.1009227151,0.917004043205,114105,0.0153505553224,0.977072046797,0.0535150651294,0.380671459176,0.0473666955486,0.000710367123618,81.0564406404,1.81494753353e-05,0.0002322451291,MODEL-INFERRED
62.9462705897,0.917004043205,114105,0.0142164367712,0.971480327749,0.0488317757489,0.374308432199,0.043302839222,0.000599591983204,68.4164432435,1.81494753353e-05,0.000188009402713,MODEL-INFERRED
70.6268772311,0.917004043205,114105,0.0131661083411,0.964097511939,0.0440931861618,0.365187970206,0.0391290901918,0.000500246413106,57.0806169675,2.06423060127e-05,0.000143773676326,MODEL-INFERRED
79.2446596231,0.917004043205,114105,0.0121933795112,0.955269097857,0.0393942477901,0.353400418665,0.0349442710538,0.000412522171063,47.0708423292,2.31351366901e-05,0.000110420047879,MODEL-INFERRED
88.9139705019,0.917004043205,114105,0.0112925171245,0.946455578881,0.034826962763,0.339327801375,0.0308482969926,0.000336310316579,38.3746886732,2.31351366901e-05,8.09720374677e-05,MODEL-INFERRED
99.7631157484,0.917004043205,114105,0.0104582115968,0.941663514956,0.0304709669594,0.323042893503,0.0269229481228,0.000271092117906,30.9329661137,2.73297703214e-05,5.54714916405e-05,MODEL-INFERRED
111.936056928,0.917004043205,114105,0.00968554562249,0.937980127602,0.0263902983871,0.30483236114,0.0232344970324,0.000216098472991,24.6579162607,2.9406163863e-05,5.02595845126e-05,MODEL-INFERRED
125.594321575,0.917004043205,114105,0.00896996519314,0.935844124974,0.0226306788332,0.283335868596,0.0198000321352,0.000170105659206,19.4099062437,2.9406163863e-05,4.10792895265e-05,MODEL-INFERRED
